,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
321,322,    P-2406,   2023/01/28 14:32:13,           1-13,13,-4.755,-9.344,-56.771,0.19,20704.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674934641.14,         0.214,         0.175,         0.372,         0.161,       154.002,         0.000,        -0.001,         3.680,        98.066,        25.463,         1.074,        61.522,         0.870,         0.067,       -0.0000,        0.0000,    0,"    
21.93",        41.562,1,13,2,WassenaarRS,0,1,-8.525806618205463,-4.48198364292399,0.028867821556561424
322,323,    P-2406,   2023/01/28 14:41:13,           1-13,14,-4.736,-9.364,-56.749,0.22,20590.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674935180.81,         0.227,         0.187,         0.374,         0.160,       152.500,         0.001,        -0.001,         3.641,        97.582,        25.443,         1.059,        60.688,         0.870,        -0.070,        0.0000,       -0.0000,    0,"    
21.92",        41.375,1,13,2,WassenaarRS,0,1,-8.545649714072711,-4.463332797209254,0.058169815595814356
323,324,    P-2406,   2023/01/28 14:50:13,           1-13,15,-4.781,-9.365,-56.719,0.176,20809.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674935720.17,         0.219,         0.179,         0.388,         0.162,       153.870,         0.001,        -0.002,         3.655,        98.458,        25.642,         1.083,        61.985,         0.871,         0.146,       -0.0000,        0.0000,    0,"    
21.90",        41.500,1,13,2,WassenaarRS,0,1,-8.546641868866073,-4.507505852849419,0.014326105835651859
324,325,    P-2406,   2023/01/28 14:59:13,           1-13,16,-4.751,-9.352,-56.735,0.199,20753.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674936260.25,         0.221,         0.185,         0.364,         0.157,       156.180,         0.000,         0.000,         3.728,        98.258,        25.573,         1.074,        61.596,         0.871,         0.095,       -0.0000,       -0.0000,    0,"    
21.87",        41.750,1,13,2,WassenaarRS,0,1,-8.533743856552363,-4.4780571490893095,0.03703890182016156
325,326,    P-2406,   2023/01/28 15:08:12,           1-13,17,-4.774,-9.352,-56.744,0.176,20772.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674936799.84,         0.215,         0.188,         0.407,         0.153,       154.516,         0.000,        -0.001,         3.664,        98.312,        25.702,         1.073,        61.382,         0.871,         0.025,       -0.0000,        0.0000,    0,"    
21.90",        41.938,1,13,2,WassenaarRS,0,1,-8.533743856552363,-4.500634488638727,0.014359747704131287
326,327,    P-2406,   2023/01/28 15:17:12,           1-13,18,-4.74,-9.349,-56.715,0.208,20715.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674937340.02,         0.228,         0.173,         0.365,         0.167,       153.759,        -0.001,         0.001,         3.672,        98.081,        25.459,         1.079,        61.618,         0.870,         0.077,        0.0000,        0.0000,    0,"    
21.86",        42.062,1,13,2,WassenaarRS,0,1,-8.530767392172276,-4.467259291043935,0.04630017432122013
327,328,    P-2406,   2023/01/28 15:26:12,           1-13,19,-4.705,-9.328,-56.77,0.232,20823.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674937879.77,         0.228,         0.196,         0.408,         0.156,       155.115,         0.000,         0.001,         3.703,        98.594,        25.755,         1.072,        61.318,         0.870,        -0.010,        0.0000,       -0.0000,    0,"    
21.85",        42.250,1,13,2,WassenaarRS,0,1,-8.509932141511666,-4.432902469990473,0.06971501910873013
328,329,    P-2406,   2023/01/28 15:35:11,           1-13,20,-4.783,-9.385,-56.756,0.184,20564.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674938418.77,         0.204,         0.187,         0.399,         0.149,       151.313,         0.001,        -0.000,         3.608,        97.408,        25.260,         1.072,        61.316,         0.871,         0.078,       -0.0000,        0.0000,    0,"    
21.79",        42.312,1,13,2,WassenaarRS,0,1,-8.56648496473332,-4.50946909976676,0.022921544316496956
329,330,    P-2406,   2023/01/28 15:44:12,           1-13,21,-4.789,-9.396,-56.782,0.184,20797.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674938959.06,         0.233,         0.194,         0.390,         0.168,       152.191,         0.001,        -0.001,         3.588,        98.359,        25.697,         1.081,        61.832,         0.870,         0.137,        0.0000,       -0.0000,    0,"    
21.80",        42.062,1,13,2,WassenaarRS,0,1,-8.577398667460306,-4.515358840518782,0.022817363518150557
330,331,    P-2406,   2023/01/28 15:53:11,           1-13,22,-4.729,-9.345,-56.873,0.218,20495.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674939498.60,         0.244,         0.206,         0.378,         0.172,       151.230,         0.001,         0.000,         3.608,        97.138,        25.279,         1.058,        60.537,         0.870,         0.009,        0.0000,        0.0000,    0,"    
21.88",        41.750,1,13,2,WassenaarRS,0,1,-8.526798772998827,-4.4564614329985615,0.0550329706983117
331,332,    P-2406,   2023/01/28 16:02:10,           1-13,23,-4.8,-9.406,-56.85,0.179,20481.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674940037.45,         0.206,         0.167,         0.356,         0.151,       150.361,         0.001,         0.000,         3.593,        96.994,        25.249,         1.064,        60.888,         0.870,         0.087,        0.0000,        0.0000,    0,"    
21.85",        41.562,1,13,2,WassenaarRS,0,1,-8.587320215393929,-4.526156698564156,0.017254395151282687
332,333,    P-2406,   2023/01/28 16:11:09,           1-13,24,-4.727,-9.368,-56.888,0.231,20570.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674940577.11,         0.216,         0.190,         0.388,         0.151,       154.641,         0.001,        -0.000,         3.689,        97.458,        25.342,         1.060,        60.909,         0.870,         0.014,       -0.0000,       -0.0000,    0,"    
21.70",        41.500,1,13,2,WassenaarRS,0,1,-8.54961833324616,-4.454498186081221,0.06915749226073764
333,334,    P-2406,   2023/01/28 16:20:09,           1-13,25,-4.779,-9.383,-56.872,0.188,20460.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674941116.63,         0.200,         0.173,         0.340,         0.140,       153.284,         0.000,         0.000,         3.637,        96.921,        25.257,         1.053,        60.686,         0.871,         0.040,       -0.0000,       -0.0000,    0,"    
21.71",        41.875,1,13,2,WassenaarRS,0,1,-8.564500655146594,-4.505542605932079,0.02580904978976406
334,335,    P-2406,   2023/01/28 16:29:08,           1-13,26,-4.785,-9.373,-56.819,0.176,20626.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674941656.09,         0.227,         0.202,         0.414,         0.156,       151.009,         0.000,         0.000,         3.602,        97.600,        25.420,         1.071,        61.486,         0.870,         0.144,        0.0000,        0.0000,    0,"    
21.67",        41.688,1,13,2,WassenaarRS,0,1,-8.554579107212971,-4.511432346684101,0.0146088307134713
335,336,    P-2406,   2023/01/28 16:38:07,           1-13,27,-4.773,-9.358,-56.806,0.18,20622.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674942194.86,         0.227,         0.193,         0.335,         0.160,       151.598,         0.000,        -0.000,         3.618,        97.598,        25.499,         1.072,        61.052,         0.871,         0.079,        0.0000,        0.0000,    0,"    
21.71",        41.438,1,13,2,WassenaarRS,0,1,-8.539696785312538,-4.499652865180057,0.0185160181562658
