  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
35,    P-2628,   2023/02/27 00:33:22,           1-01,35,-0.028,-0.47,2.369,0.22,20058,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677476309,0.215,0.168,0.495,0.168,147.742,0,-0.008,3.518,94.699,24.471,1.048,60.28,0.873,0.094,0,0,0,"    
21.63",41.75,1,1,1,WassenaarRS,0,1
36,    P-2628,   2023/02/27 00:42:21,           1-01,36,-0.026,-0.481,2.337,0.228,20378,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677476848,0.233,0.208,0.473,0.157,152.092,-0.001,-0.007,3.623,96.103,24.881,1.07,61.152,0.872,0.076,0,0,0,"    
21.72",41.625,1,1,1,WassenaarRS,0,1
37,    P-2628,   2023/02/27 00:51:21,           1-01,37,-0.021,-0.452,2.488,0.218,20185,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677477388,0.226,0.191,0.499,0.159,150.965,-0.001,-0.008,3.575,95.318,24.581,1.059,60.391,0.872,-0.026,0,0,0,"    
21.74",41.562,1,1,1,WassenaarRS,0,1
38,    P-2628,   2023/02/27 01:00:20,           1-01,38,-0.037,-0.473,2.448,0.213,20319,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677477928,0.208,0.184,0.538,0.154,151.578,0,-0.009,3.609,95.886,24.76,1.068,60.844,0.872,-0.006,0,0,0,"    
21.75",41.562,1,1,1,WassenaarRS,0,1
39,    P-2628,   2023/02/27 01:09:20,           1-01,39,-0.031,-0.459,2.501,0.212,20257,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677478467,0.219,0.189,0.505,0.153,149.477,-0.001,-0.008,3.561,95.584,24.838,1.057,60.38,0.872,0.016,0,0,0,"    
21.68",41.938,1,1,1,WassenaarRS,0,1
40,    P-2628,   2023/02/27 01:18:19,           1-01,40,-0.01,-0.426,2.59,0.215,19995,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677479006,0.204,0.192,0.471,0.142,149.021,-0.001,-0.007,3.551,94.468,24.42,1.044,59.71,0.871,-0.012,0,0,0,"    
21.80",41.688,1,1,1,WassenaarRS,0,1
41,    P-2628,   2023/02/27 01:27:19,           1-01,41,0.03,-0.428,2.613,0.256,20383,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677479546,0.23,0.201,0.582,0.156,153.399,0,-0.009,3.624,96.257,24.761,1.066,60.72,0.872,-0.083,0,0,0,"    
21.72",41.25,1,1,1,WassenaarRS,0,1
42,    P-2628,   2023/02/27 01:36:19,           1-01,42,-0.01,-0.439,2.615,0.221,20271,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677480087,0.234,0.193,0.487,0.164,148.286,0,-0.007,3.534,95.709,24.686,1.063,60.609,0.872,-0.039,0,0,0,"    
21.70",41.562,1,1,1,WassenaarRS,0,1
43,    P-2628,   2023/02/27 01:45:19,           1-01,43,-0.01,-0.455,2.642,0.23,20180,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677480626,0.205,0.172,0.453,0.15,147.962,-0.001,-0.007,3.522,95.281,24.616,1.054,60.327,0.872,-0.034,0,0,0,"    
21.65",41.562,1,1,1,WassenaarRS,0,1
44,    P-2628,   2023/02/27 01:54:18,           1-01,44,-0.033,-0.466,2.576,0.213,20180,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677481165,0.222,0.199,0.501,0.152,154.493,0,-0.007,3.662,95.274,24.725,1.051,60.126,0.871,0.025,0,0,0,"    
21.62",41.125,1,1,1,WassenaarRS,0,1
45,    P-2628,   2023/02/27 02:03:19,           1-01,45,0.011,-0.432,2.711,0.239,20287,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677481706,0.244,0.201,0.524,0.173,150.229,0,-0.008,3.578,95.732,24.69,1.067,60.935,0.871,0.046,0,0,0,"    
21.77",41.312,1,1,1,WassenaarRS,0,1
46,    P-2629,   2023/02/27 02:13:17,           1-02,1,0.862,1.14,0.234,0.26,20823,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677482304,0.201,0.181,0.499,0.139,152.45,0,-0.007,3.63,98.122,25.421,1.087,62.13,0.872,-0.055,0,0,0,"    
21.70",41.625,1,2,2,WassenaarRS,0,1
47,    P-2629,   2023/02/27 02:22:17,           1-02,2,0.832,1.113,-0.107,0.244,21052,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677482844,0.222,0.192,0.467,0.16,153.749,-0.001,-0.007,3.645,99.09,25.472,1.121,63.483,0.872,0.058,0,0,0,"    
21.78",41.375,1,2,2,WassenaarRS,0,1
48,    P-2629,   2023/02/27 02:31:17,           1-02,3,0.892,1.172,-0.002,0.273,21013,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677483385,0.21,0.175,0.446,0.154,156.818,0,-0.006,3.717,98.91,25.659,1.103,62.768,0.872,0.029,0,0,0,"    
21.74",41.25,1,2,2,WassenaarRS,0,1
49,    P-2629,   2023/02/27 02:40:17,           1-02,4,0.893,1.211,0.204,0.254,20888,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677483925,0.228,0.193,0.465,0.158,151.12,-0.001,-0.007,3.58,98.358,25.366,1.103,62.831,0.872,0.09,0,0,0,"    
21.68",41.562,1,2,2,WassenaarRS,0,1
50,    P-2629,   2023/02/27 02:49:17,           1-02,5,0.884,1.201,0.113,0.25,20527,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677484465,0.196,0.17,0.464,0.146,149.893,-0.001,-0.007,3.556,96.772,25.072,1.077,61.299,0.871,0.06,0,0,0,"    
21.78",41.25,1,2,2,WassenaarRS,0,1
51,    P-2629,   2023/02/27 02:58:17,           1-02,6,0.919,1.238,0.256,0.265,20653,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677485005,0.209,0.189,0.466,0.148,154.1,0,-0.006,3.673,97.338,25.239,1.077,61.553,0.871,0.023,0,0,0,"    
21.73",41,1,2,2,WassenaarRS,0,1
52,    P-2629,   2023/02/27 03:07:17,           1-02,7,0.902,1.217,0.217,0.259,20830,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677485544,0.215,0.185,0.505,0.151,150.511,0,-0.007,3.582,98.164,25.297,1.099,62.291,0.872,-0.066,0,0,0,"    
21.75",41.438,1,2,2,WassenaarRS,0,1
53,    P-2629,   2023/02/27 03:16:17,           1-02,8,0.913,1.217,0.296,0.27,20805,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677486084,0.216,0.183,0.458,0.159,153.44,0,-0.005,3.639,98.003,25.254,1.097,62.558,0.871,0.044,0,0,0,"    
21.79",41.25,1,2,2,WassenaarRS,0,1
54,    P-2629,   2023/02/27 03:25:17,           1-02,9,0.9,1.208,0.105,0.262,20528,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677486624,0.214,0.193,0.448,0.152,155.652,-0.001,-0.006,3.688,96.789,24.937,1.083,61.616,0.871,0.037,0,0,0,"    
21.65",41.062,1,2,2,WassenaarRS,0,1
55,    P-2629,   2023/02/27 03:34:16,           1-02,10,0.915,1.251,0.219,0.255,20849,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1677487163,0.217,0.183,0.474,0.153,151.542,-0.001,-0.007,3.593,98.2,25.383,1.093,62.499,0.871,0.019,0,0,0,"    
21.80",41.5,1,2,2,WassenaarRS,0,1
56,    P-2630,   2023/02/27 03:44:15,           1-03,1,1.891,3.079,8.622,0.265,20568,-1,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677487762,0.218,0.181,0.486,0.157,154.319,0,-0.008,3.677,96.94,24.888,1.092,62.263,0.872,0.076,0,0,0,"    
21.73",41.125,1,3,2,WassenaarRS,0,1
57,    P-2630,   2023/02/27 03:53:15,           1-03,2,1.855,3.021,8.772,0.261,20616,-1,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677488302,0.245,0.213,0.548,0.173,151.235,-0.001,-0.008,3.579,97.254,24.988,1.084,61.567,0.872,-0.03,0,0,0,"    
21.72",41.25,1,3,2,WassenaarRS,0,1
58,    P-2630,   2023/02/27 04:02:14,           1-03,3,1.937,3.179,9.398,0.259,20211,-1,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677488841,0.215,0.184,0.467,0.154,147.073,-0.001,-0.007,3.503,95.446,24.452,1.059,60.845,0.872,0.011,0,0,0,"    
21.70",41.5,1,3,2,WassenaarRS,0,1
59,    P-2630,   2023/02/27 04:11:14,           1-03,4,1.938,3.169,9.635,0.266,20140,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677489382,0.213,0.184,0.515,0.153,152.8,-0.001,-0.008,3.645,95.094,24.501,1.055,60.424,0.871,0,0,0,0,"    
21.79",41.125,1,3,2,WassenaarRS,0,1
60,    P-2630,   2023/02/27 04:20:15,           1-03,5,1.938,3.175,9.565,0.263,20163,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677489922,0.217,0.172,0.463,0.163,152.148,-0.001,-0.007,3.624,95.198,24.413,1.06,60.783,0.872,-0.012,0,0,0,"    
21.69",41.125,1,3,2,WassenaarRS,0,1
61,    P-2630,   2023/02/27 04:29:14,           1-03,6,1.961,3.195,9.654,0.275,20193,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677490461,0.193,0.167,0.476,0.144,147.496,0,-0.006,3.498,95.319,24.475,1.06,60.789,0.871,-0.018,0,0,0,"    
21.64",41.5,1,3,2,WassenaarRS,0,1
62,    P-2630,   2023/02/27 04:38:13,           1-03,7,1.918,3.202,9.931,0.228,20303,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677491000,0.215,0.192,0.497,0.151,151.563,-0.001,-0.007,3.613,95.763,24.632,1.074,61.311,0.872,0.099,0,0,0,"    
21.74",41.125,1,3,2,WassenaarRS,0,1
63,    P-2630,   2023/02/27 04:47:14,           1-03,8,1.954,3.21,9.864,0.26,20215,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677491541,0.223,0.199,0.462,0.153,150.479,-0.001,-0.006,3.564,95.411,24.592,1.06,60.681,0.871,0.013,0,0,0,"    
21.71",41.25,1,3,2,WassenaarRS,0,1
64,    P-2630,   2023/02/27 04:56:14,           1-03,9,1.924,3.185,9.829,0.243,20156,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677492081,0.236,0.201,0.521,0.161,146.606,-0.001,-0.008,3.496,95.057,24.559,1.065,60.948,0.871,0.14,0,0,0,"    
21.62",41.688,1,3,2,WassenaarRS,0,1
65,    P-2630,   2023/02/27 05:05:14,           1-03,10,1.954,3.246,10.01,0.241,20177,0,1,                              Ultra_Boil,                                T1V3-ID2,                 H2O,1677492622,0.232,0.188,0.442,0.164,146.497,-0.001,-0.005,3.494,95.214,24.351,1.069,61.308,0.871,0.099,0,0,0,"    
21.74",41.375,1,3,2,WassenaarRS,0,1
66,    P-2631,   2023/02/27 05:15:13,           1-04,1,2.966,5.14,15.318,0.255,21028,-1,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677493221,0.243,0.211,0.49,0.168,155.641,-0.001,-0.007,3.706,99.031,25.373,1.118,63.254,0.872,-0.006,0,0,0,"    
21.75",41,1,4,2,WassenaarRS,0,1
67,    P-2631,   2023/02/27 05:24:12,           1-04,2,2.919,4.998,15.136,0.282,21219,-1,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677493760,0.201,0.187,0.493,0.153,151.232,0,-0.007,3.599,99.916,25.645,1.12,63.325,0.872,-0.089,0,0,0,"    
21.71",41.25,1,4,2,WassenaarRS,0,1
68,    P-2631,   2023/02/27 05:33:11,           1-04,3,3.009,5.181,15.887,0.276,20707,-1,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677494299,0.221,0.208,0.508,0.157,147.621,-0.001,-0.008,3.507,97.569,24.934,1.104,62.724,0.873,0.037,0,0,0,"    
21.69",41.688,1,4,2,WassenaarRS,0,1
69,    P-2631,   2023/02/27 05:42:12,           1-04,4,3.026,5.201,15.865,0.283,20677,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677494840,0.212,0.199,0.452,0.15,147.515,-0.001,-0.006,3.512,97.497,24.942,1.093,62.213,0.871,-0.047,0,0,0,"    
21.68",41.625,1,4,2,WassenaarRS,0,1
70,    P-2631,   2023/02/27 05:51:12,           1-04,5,3.03,5.237,16.064,0.267,20759,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677495380,0.216,0.182,0.488,0.161,151.082,-0.001,-0.008,3.615,97.849,24.949,1.104,62.821,0.873,0.002,0,0,0,"    
21.72",41.125,1,4,2,WassenaarRS,0,1
71,    P-2631,   2023/02/27 06:00:12,           1-04,6,3.04,5.233,16.077,0.28,20799,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677495919,0.211,0.175,0.492,0.155,149.136,-0.001,-0.007,3.545,98.059,25.054,1.098,62.472,0.873,-0.07,0,0,0,"    
21.67",41.375,1,4,2,WassenaarRS,0,1
72,    P-2631,   2023/02/27 06:09:12,           1-04,7,3.044,5.224,16.179,0.288,20788,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677496459,0.214,0.188,0.462,0.15,146.436,0,-0.005,3.488,97.96,25.293,1.091,61.975,0.872,-0.015,0,0,0,"    
21.71",41.5,1,4,2,WassenaarRS,0,1
73,    P-2631,   2023/02/27 06:18:12,           1-04,8,3.003,5.204,16.184,0.258,20698,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677496999,0.223,0.185,0.416,0.161,151.174,-0.001,-0.006,3.604,97.505,25.03,1.096,62.529,0.871,0.067,0,0,0,"    
21.74",41.062,1,4,2,WassenaarRS,0,1
74,    P-2631,   2023/02/27 06:27:12,           1-04,9,3.061,5.266,16.217,0.283,20764,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677497540,0.201,0.178,0.501,0.148,152.498,0,-0.007,3.614,97.846,25.059,1.102,62.653,0.871,0.01,0,0,0,"    
21.70",41,1,4,2,WassenaarRS,0,1
75,    P-2631,   2023/02/27 06:36:13,           1-04,10,3.076,5.267,16.264,0.297,20808,0,1,                            Supreme_Boil,                                T1V4-ID2,                 H2O,1677498080,0.224,0.185,0.46,0.163,146.092,0,-0.007,3.46,98.077,25.097,1.095,62.641,0.872,-0.021,0,0,0,"    
21.67",41.5,1,4,2,WassenaarRS,0,1
