  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
1,    P-2628,   2023/02/26 19:27:36,           1-01,1,-1.475,-3.215,-15.696,0.225,21639,-1,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677457963,0.25,0.327,1.538,0.154,318.832,-0.007,-0.035,7.574,102.076,26.138,1.158,65.083,0.872,0.119,0,0,0,"    
21.93",40.312,1,1,1,WassenaarRS,0,1
2,    P-2628,   2023/02/26 19:36:36,           1-01,2,-1.041,-2.373,-9.263,0.213,21457,-1,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677458504,0.213,0.256,1.297,0.143,257.238,-0.004,-0.029,6.11,101.083,25.961,1.149,64.596,0.872,0.15,0,0,0,"    
21.86",40.375,1,1,1,WassenaarRS,0,1
3,    P-2628,   2023/02/26 19:45:35,           1-01,3,-0.671,-1.692,-6.282,0.223,20568,-1,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677459042,0.234,0.229,1.175,0.164,217.887,-0.003,-0.026,5.182,97.198,25.09,1.072,61.037,0.87,-0.061,0,0,0,"    
21.76",41,1,1,1,WassenaarRS,0,1
4,    P-2628,   2023/02/26 19:54:35,           1-01,4,-0.487,-1.343,-4.462,0.222,20422,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677459582,0.228,0.219,1.03,0.159,199.063,-0.002,-0.023,4.727,96.452,24.666,1.086,61.961,0.872,0.123,0,0,0,"    
21.74",41.375,1,1,1,WassenaarRS,0,1
5,    P-2628,   2023/02/26 20:03:34,           1-01,5,-0.375,-1.121,-3.263,0.218,20403,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677460122,0.201,0.198,0.956,0.148,186.277,-0.002,-0.021,4.442,96.387,24.795,1.07,61.24,0.872,0.019,0,0,0,"    
21.75",41.625,1,1,1,WassenaarRS,0,1
6,    P-2628,   2023/02/26 20:12:33,           1-01,6,-0.312,-0.979,-2.269,0.205,20373,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677460661,0.205,0.193,0.916,0.153,178.16,-0.002,-0.02,4.251,96.224,24.723,1.076,61.221,0.872,0.033,0,0,0,"    
21.86",41.875,1,1,1,WassenaarRS,0,1
7,    P-2628,   2023/02/26 20:21:33,           1-01,7,-0.213,-0.846,-1.645,0.234,20325,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677461200,0.224,0.207,0.803,0.159,172.778,-0.002,-0.017,4.122,96.052,24.811,1.055,60.414,0.872,-0.134,0,0,0,"    
21.84",42,1,1,1,WassenaarRS,0,1
8,    P-2628,   2023/02/26 20:30:33,           1-01,8,-0.186,-0.774,-1.014,0.223,20237,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677461740,0.218,0.193,0.795,0.149,164.018,-0.001,-0.017,3.912,95.644,24.527,1.067,60.801,0.872,0.024,0,0,0,"    
21.81",41.938,1,1,1,WassenaarRS,0,1
9,    P-2628,   2023/02/26 20:39:32,           1-01,9,-0.123,-0.72,-0.581,0.257,20140,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677462280,0.202,0.184,0.767,0.147,163.575,-0.001,-0.016,3.901,95.255,24.498,1.049,59.996,0.872,-0.09,0,0,0,"    
21.94",41.562,1,1,1,WassenaarRS,0,1
10,    P-2628,   2023/02/26 20:48:32,           1-01,10,-0.166,-0.719,-0.297,0.214,20215,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677462819,0.224,0.192,0.745,0.169,162.766,-0.001,-0.015,3.88,95.516,24.618,1.058,60.426,0.871,-0.019,0,0,0,"    
21.89",41.188,1,1,1,WassenaarRS,0,1
11,    P-2628,   2023/02/26 20:57:31,           1-01,11,-0.114,-0.68,-0.047,0.245,20258,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677463359,0.224,0.186,0.711,0.159,162.062,-0.001,-0.014,3.864,95.678,24.747,1.055,60.613,0.872,0.016,0,0,0,"    
21.80",41.625,1,1,1,WassenaarRS,0,1
12,    P-2628,   2023/02/26 21:06:31,           1-01,12,-0.092,-0.606,0.352,0.228,20202,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677463899,0.206,0.186,0.663,0.142,158.718,-0.001,-0.013,3.785,95.459,24.519,1.057,60.645,0.872,0.01,0,0,0,"    
21.83",41.688,1,1,1,WassenaarRS,0,1
13,    P-2628,   2023/02/26 21:15:31,           1-01,13,-0.142,-0.649,0.446,0.201,20140,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677464439,0.212,0.179,0.631,0.157,159.297,-0.001,-0.012,3.78,95.131,24.482,1.06,60.62,0.871,0.136,0,0,0,"    
21.83",41.25,1,1,1,WassenaarRS,0,1
14,    P-2628,   2023/02/26 21:24:31,           1-01,14,-0.112,-0.645,0.52,0.229,20205,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677464979,0.216,0.202,0.651,0.146,161.994,-0.002,-0.012,3.865,95.439,24.565,1.059,60.711,0.872,0.042,0,0,0,"    
21.74",41.125,1,1,1,WassenaarRS,0,1
15,    P-2628,   2023/02/26 21:33:30,           1-01,15,-0.115,-0.609,0.908,0.206,20266,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677465518,0.225,0.203,0.694,0.155,155.022,0,-0.014,3.678,95.654,24.619,1.071,61.097,0.871,0.024,0,0,0,"    
21.72",41.562,1,1,1,WassenaarRS,0,1
16,    P-2628,   2023/02/26 21:42:30,           1-01,16,-0.086,-0.575,0.971,0.218,20168,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677466057,0.213,0.197,0.621,0.146,154.81,-0.001,-0.012,3.68,95.273,24.735,1.049,59.967,0.87,0.03,0,0,0,"    
21.65",41.188,1,1,1,WassenaarRS,0,1
17,    P-2628,   2023/02/26 21:51:30,           1-01,17,-0.074,-0.551,1.217,0.217,20159,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677466597,0.23,0.197,0.578,0.165,156.853,-0.001,-0.011,3.747,95.157,24.601,1.058,60.615,0.87,0.088,0,0,0,"    
21.85",40.938,1,1,1,WassenaarRS,0,1
18,    P-2628,   2023/02/26 22:00:29,           1-01,18,-0.081,-0.577,1.248,0.224,20245,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677467136,0.223,0.19,0.611,0.16,158.879,0,-0.01,3.769,95.554,24.632,1.073,60.903,0.871,0.098,0,0,0,"    
21.83",41.188,1,1,1,WassenaarRS,0,1
19,    P-2628,   2023/02/26 22:09:28,           1-01,19,-0.088,-0.555,1.302,0.205,20254,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677467675,0.228,0.175,0.56,0.177,152.289,-0.001,-0.01,3.613,95.606,24.546,1.074,61.307,0.871,0.119,0,0,0,"    
21.76",41.625,1,1,1,WassenaarRS,0,1
20,    P-2628,   2023/02/26 22:18:26,           1-01,20,-0.05,-0.552,1.437,0.241,20204,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677468214,0.2,0.176,0.572,0.149,153.746,-0.001,-0.01,3.642,95.419,24.595,1.062,60.618,0.871,0.017,0,0,0,"    
21.79",41.438,1,1,1,WassenaarRS,0,1
21,    P-2628,   2023/02/26 22:27:27,           1-01,21,-0.041,-0.509,1.589,0.228,20151,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677468754,0.208,0.193,0.545,0.151,152.999,0,-0.01,3.649,95.19,24.643,1.048,60.01,0.872,-0.06,0,0,0,"    
21.83",41.062,1,1,1,WassenaarRS,0,1
22,    P-2628,   2023/02/26 22:36:27,           1-01,22,-0.085,-0.557,1.555,0.209,20207,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677469295,0.207,0.181,0.56,0.148,153.972,-0.001,-0.011,3.677,95.435,24.544,1.056,60.685,0.871,-0.024,0,0,0,"    
21.82",41.125,1,1,1,WassenaarRS,0,1
23,    P-2628,   2023/02/26 22:45:27,           1-01,23,-0.02,-0.497,1.686,0.242,20274,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677469834,0.213,0.175,0.549,0.157,150.442,-0.001,-0.01,3.585,95.715,24.679,1.065,60.8,0.872,0.047,0,0,0,"    
21.79",41.562,1,1,1,WassenaarRS,0,1
24,    P-2628,   2023/02/26 22:54:28,           1-01,24,-0.004,-0.489,1.819,0.254,20173,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677470375,0.21,0.201,0.563,0.153,149.994,-0.001,-0.01,3.576,95.29,24.636,1.057,60.037,0.872,0.005,0,0,0,"    
21.56",41.625,1,1,1,WassenaarRS,0,1
25,    P-2628,   2023/02/26 23:03:28,           1-01,25,-0.017,-0.493,1.834,0.243,20136,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677470915,0.207,0.181,0.59,0.156,151.611,0,-0.011,3.596,95.127,24.605,1.05,60.025,0.87,0.048,0,0,0,"    
21.92",41.25,1,1,1,WassenaarRS,0,1
26,    P-2628,   2023/02/26 23:12:27,           1-01,26,-0.082,-0.536,1.881,0.201,20184,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677471455,0.199,0.184,0.547,0.151,153.05,-0.001,-0.009,3.646,95.255,24.745,1.057,60.407,0.871,0.105,0,0,0,"    
21.85",41.125,1,1,1,WassenaarRS,0,1
27,    P-2628,   2023/02/26 23:21:26,           1-01,27,-0.034,-0.481,1.894,0.22,20197,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677471993,0.217,0.187,0.537,0.162,150.597,-0.001,-0.009,3.588,95.382,24.618,1.06,60.316,0.872,-0.002,0,0,0,"    
21.76",41.438,1,1,1,WassenaarRS,0,1
28,    P-2628,   2023/02/26 23:30:26,           1-01,28,-0.04,-0.52,1.971,0.234,20158,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677472533,0.227,0.196,0.565,0.16,155.488,0,-0.01,3.686,95.172,24.701,1.052,60.164,0.871,0.016,0,0,0,"    
21.68",41.125,1,1,1,WassenaarRS,0,1
29,    P-2628,   2023/02/26 23:39:25,           1-01,29,-0.036,-0.5,2.084,0.228,20198,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677473072,0.206,0.176,0.539,0.15,154.555,0,-0.009,3.693,95.351,24.746,1.053,60.293,0.87,0.003,0,0,0,"    
21.60",41.062,1,1,1,WassenaarRS,0,1
30,    P-2628,   2023/02/26 23:48:24,           1-01,30,-0.044,-0.502,2.136,0.221,20253,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677473611,0.225,0.2,0.563,0.151,150.574,0,-0.01,3.59,95.552,24.772,1.063,60.702,0.871,0.061,0,0,0,"    
21.65",41.5,1,1,1,WassenaarRS,0,1
31,    P-2628,   2023/02/26 23:57:24,           1-01,31,-0.052,-0.496,2.192,0.21,20244,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677474151,0.21,0.178,0.531,0.156,148.961,0,-0.009,3.55,95.526,24.645,1.066,61.054,0.872,0.056,0,0,0,"    
21.72",41.812,1,1,1,WassenaarRS,0,1
32,    P-2628,   2023/02/27 00:06:24,           1-01,32,-0.044,-0.482,2.282,0.211,20134,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677474691,0.234,0.2,0.523,0.167,148.53,0,-0.009,3.538,95.055,24.566,1.054,60.287,0.871,0.04,0,0,0,"    
21.72",41.312,1,1,1,WassenaarRS,0,1
33,    P-2628,   2023/02/27 00:15:23,           1-01,33,-0.046,-0.465,2.317,0.2,20264,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677475230,0.209,0.183,0.519,0.157,153.829,-0.001,-0.009,3.642,95.657,24.617,1.071,60.806,0.871,0.063,0,0,0,"    
21.73",41.062,1,1,1,WassenaarRS,0,1
34,    P-2628,   2023/02/27 00:24:23,           1-01,34,-0.01,-0.454,2.335,0.23,20226,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677475770,0.186,0.185,0.506,0.14,150.579,0,-0.009,3.589,95.507,24.663,1.053,60.423,0.872,-0.044,0,0,0,"    
21.72",41.5,1,1,1,WassenaarRS,0,1
